gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
466546,NSPTRG00000047047,0,0,0,0,0
451415,NSPTRG00000047048,0,0,0,0,0
451015,NSPTRG00000047052,0,0,0,0,0
472031,NSPTRG00000047053,1.42599,1.27105,0.824177,3.52398,0.613803
460886,NSPTRG00000047056,10.6013,6.19757,36.1594,34.8731,63.0623
742326,NSPTRG00000047078,1.667407,2.535677149,4.79713,7.25149334,2.664785226
467274,NSPTRG00000047082,0.113243,0.0880536,2.44149,1.62201,0.220858
460197,NSPTRG00000047094,3.66369,8.35081,0.67719,3.185115,0.044934174
471938,NSPTRG00000047098,0,0,0,0,0
100614902,NSPTRG00000047101,0,0,0,0,0
737690,NSPTRG00000047103,7.768543,4.473344,1.454407,0.376156,0.04600974
100611841,NSPTRG00000047109,0.228058,0.375034,40.2877,59.7999,0.745801
107971890,NSPTRG00000047111,32.0759,29.0498,101.9788,101.0635,158.0172
465572,NSPTRG00000047112,40.8531,14.4114,46.5043,42.4337,78.9654
467547,NSPTRG00000047114,1.08045,0.334754,5.7378,5.65831,0.513389
744817,NSPTRG00000047115,15.9265,6.19774,34.7243,11.136,15.9909
466446,NSPTRG00000047122,0,0.136388,11.5262,5.61748,0
451445,NSPTRG00000047123,52.5581,55.49024,122.0747,108.409,53.3334
746714,NSPTRG00000047128,0.0230165,0.0724085,0.14253,0.0461186,0.912881
104001101,NSPTRG00000047137,0,0,0,1.44588,0
450932,NSPTRG00000047139,1.64877,0.864487,164.178327,185.83715,44.0462
737509,NSPTRG00000047145,215.4889,241.036,190.9524,293.065,119.5636
739912,NSPTRG00000047151,788.076,368.096,1532.63562,942.66502,1985.632537
470453,NSPTRG00000047153,40.6098,24.1595,37.7694,24.6703,31.3009
741790,NSPTRG00000047154,10.3616,7.5808,41.5588,31.461284,26.86927
736463,NSPTRG00000047159,0.392241,7.18343,0,0.0561384,0.0516845
463989,NSPTRG00000047162,0.058229,0,0,0.0875057,0
107968511,NSPTRG00000047164,0.352236,2.73551,1.3885,3.31582,1.76835
459231,NSPTRG00000047166,50.2247,69.7693,15.27504,11.4054,11.8436
467354,NSPTRG00000047173,0,0,0,0.158442,0
471631,NSPTRG00000047175,197.144,263.316,315.144,354.865,408.681
743839,NSPTRG00000047181,0.0901296,0,0,0,0
737408,NSPTRG00000047198,0,0,0,0,0
459224,NSPTRG00000047199,1.070941,1.9088154,0.2477285,0.4905451,0.1112103
107968622,NSPTRG00000047200,0,0,0,0,0
467877,NSPTRG00000047203,0,0,0,0.0928943,1.19734
104003639,NSPTRG00000047206,0.174845,0,6.92946,8.23296,0
742575,NSPTRG00000047213,6.45704,2.168289,11.00221,7.058601139,24.84968
749249,NSPTRG00000047216,0,0,0,2.01129,0
746557,NSPTRG00000047219,0.510966,0,0.632833,1.02383,8.0121
739968,NSPTRG00000047228,0.320241,0.573209,1.3403,2.3233,0.468536
468520,NSPTRG00000047230,4.68559,6.53459,4.13444,10.0778,2.09847
455500,NSPTRG00000047238,0,0,0,0,0
739229,NSPTRG00000047242,0.281403,0.369019,0.290553,0.940145,0.216389
736470,NSPTRG00000047245,23.3756,31.8898,29.774,33.6302,22.685
451269,NSPTRG00000047249,16.9002,9.60438,39.3238,22.44298,44.4168
107969758,NSPTRG00000047264,3.65848,3.693930001,3.142412538,2.633862455,1.928425707
473234,NSPTRG00000047266,2.1342,1.07678,8.87722,8.51233,7.27984
466614,NSPTRG00000047267,0,0,0,0,0
468652,NSPTRG00000047280,0.0852547,0.111752,0.299166,0.199297,5.89773
746286,NSPTRG00000047284,0.0706214,0.2415292,0.835793,0.513965,2.8962
107971433,NSPTRG00000047285,0.875053,1.9304,0.566895,2.04843,2.36121
744142,NSPTRG00000047286,0,0,0,0,0
747609,NSPTRG00000047288,1.16371,1.16547,4.27841,3.18133,1.07394
470387,NSPTRG00000047293,9.26018,5.68072,5.80319,7.45901,3.16029
745967,NSPTRG00000047295,1.01037,1.18249,7.23266,7.67742,1.9658
738899,NSPTRG00000047297,66.6132,66.2582,109.677,74.9809,88.1874
465604,NSPTRG00000047301,32.18374,12.676745,46.1653,36.2525622,15.96192
104008054,NSPTRG00000047304,3.79228,3.73154,2.616235955,6.575281,2.77115
737451,NSPTRG00000047310,204.856,228.387,461.876,540.726,283.232
107967131,NSPTRG00000047312,0.685337,0.542693,11.86329,7.718947,3.265166
470584,NSPTRG00000047314,260.613,342.694,287.954,277.72,89.2904
104001078,NSPTRG00000047316,0,0,0,0,0
451198,NSPTRG00000047318,1.97273,0.787339,4.9594,3.62831,4.56256
471880,NSPTRG00000047324,11.1693,2.50984,24.1229,41.03,43.6508
744227,NSPTRG00000047325,2.56584,3.93988,1.43757,1.89735,2.59205
469948,NSPTRG00000047332,57.4748,59.58548,2.09413,1.31755,0.0533196
450799,NSPTRG00000047334,0,0,5.98814,9.47731,0
