,X,ens_gene,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,gene_id
773,782,ENSMUSG00000004945,20.07121,18.6335,20.51332,19.16901,12.461581,9.851123,10.382442,20.94471,20.943065,20.481874,10.438548,11.834582,10.822787,11.226526,70544
774,783,ENSMUSG00000004947,0.8744195,1.320409,1.475866,1.205952,4.035644002,6.607022933,6.232673,11.2164452,11.52140152,11.71039429,4.025847525,5.992936,6.849533,6.576409,74198
775,784,ENSMUSG00000004948,0,0,0,0,0.0619184,0.100423,0.0264081,0.0692357,0.07436079,0,0,0.0471309,0.0532798,0,22788
776,785,ENSMUSG00000004951,6.1088,6.03437,5.09683,5.1853,151.47852,354.16319,363.4094,53.846448,50.888736,55.656547,9.01134,21.9708,20.9381,20.613834,15507
777,786,ENSMUSG00000004952,1.0943811,0.798994,2.021707003,0.525281386,2.4000846,5.187180009,5.440490611,7.499889301,6.96052,6.068316,0.5999649,1.655164,2.2353649,1.87213982,54153
778,787,ENSMUSG00000004961,0.0653598,0,0,0,0.433575,1.346044,1.638588,0.612278,0.747599,0.342827,0,0,0,0.0310497,53420
779,788,ENSMUSG00000004980,66.0682733,62.038844,64.65557,60.199993,70.942822,53.368602,52.906091,76.525346,79.4936381,77.538284,42.596426,47.823972,44.39362938,46.683757,53379
780,789,ENSMUSG00000004988,0,0,0,0,0.14078,0.498176808,0.502742,170.822644,163.44811,157.54495,0,0.185295195,0.237177365,0.357549,108017
781,790,ENSMUSG00000004994,1.813662,1.90116,0.9796025,2.765997,12.776647,14.85553,11.608648,17.427825,21.345221,19.977615,17.119012,9.84136,9.957027,10.021231,67736
782,791,ENSMUSG00000004996,2.577991,1.423945,3.024607,3.08632,5.538656,16.4311,17.71331,36.6871,32.21274,37.51408,47.14232,82.13847,101.03344,83.27134,67873
783,792,ENSMUSG00000005034,4.85804,5.05584,5.13884,5.8768563,11.54997343,11.9615889,10.5356083,15.8659697,16.4088076,16.2608981,10.321314,9.783052,9.827031,8.6710771,18749
784,793,ENSMUSG00000005043,1.28809197,1.52407,1.721802,1.300722131,4.33792,6.7394381,6.83513,18.176305,17.214932,18.439264,7.684,10.074419,12.79628,11.3016618,27029
