"","ens_gene","Homo_sg_1","Homo_sg_2","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Homo_livr_1","Homo_livr_2","Homo_livr_3","gene_ids"
"12046","ENSG00000168803",4.044748,3.093797,3.766897,6.072852,5.28962,3.559918,8.18913,12.06275,3.379817,1.094685,3.44328,161823
"12047","ENSG00000168806",2.714421,2.805951,1.224788,2.411287,2.195002,4.637603,4.44248,6.60425,2.928638,1.065415,1.510646,9836
"12048","ENSG00000168807",3.534691,1.816742,1.581194,3.240454,6.269186,5.58047,1.653532,9.42115,0.670411,0.531813,0.834296,6645
"12049","ENSG00000168811",0.5287936,0.1948843,0.4362888,0.986967,1.043068,0.180426,0,0.267245,0,0.0350139,0.1593403,3592
"12050","ENSG00000168813",4.301905,2.624643,2.034238,2.329256,1.630607,2.412139,1.54271,5.370813,1.458992,0.6630904,1.767974,22847
"12051","ENSG00000168818",10.03179,9.631679,13.11795,14.80358,14.77123,53.1673,30.5501,66.37268,13.74941,9.104007,9.882036,53407
"12052","ENSG00000168824",1.836498,3.773559,1.903514,6.2192,6.616233,80.2862,5.60522,65.67552,0.2594718,0.1461154,0.2360354,27065
"12053","ENSG00000168826",1.361468,1.075164,0.907832,0.819694,1.811143,1.608316,0.714322,2.024356,1.535758,0.4858909,0.887806,166793
"12054","ENSG00000168827",17.57599,8.728351,10.80395,17.68646,21.14874,31.19981,13.27569,40.29261,16.61518,19.95861,12.52813,85476
"12055","ENSG00000168828",0.0428169,0.0264545,0.068585,0,0.10206,0.143282,0.0826241,0,0,0,0,392309
"12056","ENSG00000168830",0,0,0,0,0,0,0,0,0,0,0,3354
"12057","ENSG00000168843",0.0439527,0,0,0.058933,0.0392035,0.0550377,0,0.0946545,0,0.01478873,0.005601266,56884
"12058","ENSG00000168872",6.470392,5.407239,17.74954,20.4801,18.77897,31.66919,19.66494,31.45013,20.3684,4.587462,8.035452,55308
"12059","ENSG00000168874",0.69846,0.5463736,57.37871,30.98655,31.71139,2.102568,18.72249,1.811087,36.7356,17.59585,19.51699,84913
"12060","ENSG00000168875",0,0,0,0,0,0,0,0,0,0,0,8403
"12061","ENSG00000168876",6.57891,4.429075,3.143564,1.619736,3.026674,5.203546,1.161172,14.70629,3.571072,4.313578,4.963367,54851
"12062","ENSG00000168878",0.241134,0.201399,0.463775,0.179985,0.328176,3.380793,2.172071,1.699848,0.562438,0.249967,0.454829,6439
"12063","ENSG00000168883",11.06503,9.059002,26.21184,20.16747,17.57698,31.17006,22.74665,25.6658,22.0269,8.033723,12.10111,10713
