"","moduleColors","gene"
"1721","turquoise","107292526"
"1722","turquoise","107292531"
"1723","turquoise","107292544"
"1724","turquoise","107292553"
"1725","turquoise","107292560"
"1726","turquoise","107292568"
"1727","turquoise","107292570"
"1728","turquoise","107292577"
"1729","turquoise","107292581"
"1730","turquoise","107292587"
"1731","turquoise","107292595"
"1732","turquoise","107292601"
"1733","turquoise","107292604"
"1734","turquoise","107292610"
"1735","turquoise","107292629"
"1736","turquoise","107292631"
"1737","turquoise","107292633"
"1738","turquoise","107292634"
"1739","turquoise","107292647"
"1740","turquoise","107292658"
"1741","turquoise","107292686"
"1742","turquoise","107292694"
"1743","turquoise","107292700"
"1744","turquoise","107292706"
"1745","turquoise","107292712"
"1746","turquoise","107292716"
"1747","turquoise","107292741"
"1748","turquoise","107292748"
"1749","turquoise","107292752"
"1750","turquoise","107292756"
"1751","turquoise","107292757"
"1752","turquoise","107292766"
"1753","turquoise","107292772"
"1754","turquoise","107292774"
"1755","turquoise","107292777"
"1756","turquoise","107292787"
"1757","turquoise","107292790"
"1758","turquoise","107292798"
"1759","turquoise","107292800"
"1760","turquoise","107292809"
"1761","turquoise","107292818"
"1762","turquoise","107292827"
"1763","turquoise","107292841"
"1764","turquoise","107292842"
"1765","turquoise","107292852"
"1766","turquoise","107292853"
"1767","turquoise","107292854"
"1768","turquoise","107292859"
"1769","turquoise","107292881"
"1770","turquoise","107292882"
"1771","turquoise","107292885"
"1772","turquoise","107292886"
"1773","turquoise","107292887"
"1774","turquoise","107292891"
"1775","turquoise","107292897"
"1776","turquoise","107292905"
"1777","turquoise","107292909"
"1778","turquoise","107292913"
"1779","turquoise","107292923"
"1780","turquoise","107292925"
"1781","turquoise","107292929"
"1782","turquoise","107292935"
"1783","turquoise","107292938"
"1784","turquoise","107292941"
"1785","turquoise","107292968"
"1786","turquoise","107292969"
"1787","turquoise","107292971"
"1788","turquoise","107292976"
"1789","turquoise","107292983"
"1790","turquoise","107292986"
"1791","turquoise","107292988"
"1792","turquoise","107292989"
"1793","turquoise","107292995"
"1794","turquoise","107293009"
"1795","turquoise","107293015"
"1796","turquoise","107293017"
"1797","turquoise","107293035"
"1798","turquoise","107293046"
"1799","turquoise","107293060"
"1800","turquoise","107293069"
"1801","turquoise","107293078"
"1802","turquoise","107293081"
"1803","turquoise","107293084"
"1804","turquoise","107293088"
"1805","turquoise","107293095"
"1806","turquoise","107293099"
"1807","turquoise","107293105"
"1808","turquoise","107293106"
"1809","turquoise","107293111"
"1810","turquoise","107293115"
"1811","turquoise","107293128"
"1812","turquoise","107293139"
"1813","turquoise","107293142"
"1814","turquoise","107293144"
"1815","turquoise","107293145"
"1816","turquoise","107293148"
"1817","turquoise","107293157"
"1818","turquoise","107293159"
"1819","turquoise","107293161"
"1820","turquoise","107293166"
"1821","turquoise","107293170"
"1822","turquoise","107293175"
"1823","turquoise","107293177"
"1824","turquoise","107293178"
"1825","turquoise","107293197"
"1826","turquoise","107293199"
"1827","turquoise","107293217"
"1828","turquoise","107293219"
"1829","turquoise","107293224"
"1830","turquoise","107293226"
"1831","turquoise","107293227"
"1832","turquoise","107293233"
"1833","turquoise","107293241"
"1834","turquoise","107293244"
"1835","turquoise","107293246"
"1836","turquoise","107293247"
"1837","turquoise","107293249"
"1838","turquoise","107293250"
"1839","turquoise","107293257"
"1840","turquoise","107293260"
"1841","turquoise","107293264"
"1842","turquoise","107293266"
"1843","turquoise","107293267"
"1844","turquoise","107293293"
"1845","turquoise","107293295"
"1846","turquoise","107293300"
"1847","turquoise","107293304"
"1848","turquoise","107293306"
"1849","turquoise","107293307"
"1850","turquoise","107293320"
"1851","turquoise","107293325"
"1852","turquoise","107293341"
"1853","turquoise","107293370"
"1854","turquoise","107293371"
"1855","turquoise","107293386"
"1856","turquoise","107293392"
"1857","turquoise","107293405"
"1858","turquoise","107293406"
"1859","turquoise","107293415"
"1860","turquoise","107293421"
"1861","turquoise","107293422"
"1862","turquoise","107293428"
"1863","turquoise","107293445"
"1864","turquoise","107293451"
"1865","turquoise","107293461"
"1866","turquoise","107293463"
"1867","turquoise","107293465"
"1868","turquoise","107293494"
"1869","turquoise","107293503"
"1870","turquoise","107293505"
"1871","turquoise","107293511"
"1872","turquoise","107293512"
"1873","turquoise","107293513"
"1874","turquoise","107293524"
"1875","turquoise","107293526"
"1876","turquoise","107293529"
"1877","turquoise","107293532"
"1878","turquoise","107293564"
"1879","turquoise","107293565"
"1880","turquoise","107293590"
"1881","turquoise","107293608"
"1882","turquoise","107293621"
"1883","turquoise","107293623"
"1884","turquoise","107293625"
"1885","turquoise","107293627"
"1886","turquoise","107293631"
"1887","turquoise","107293635"
"1888","turquoise","107293638"
"1889","turquoise","107293639"
"1890","turquoise","107293640"
"1891","turquoise","107293646"
"1892","turquoise","107293649"
"1893","turquoise","107293653"
"1894","turquoise","107293655"
"1895","turquoise","107293667"
"1896","turquoise","107293671"
"1897","turquoise","107293679"
"1898","turquoise","107293682"
"1899","turquoise","107293684"
"1900","turquoise","107293692"
"1901","turquoise","107293695"
"1902","turquoise","107293701"
"1903","turquoise","107293716"
"1904","turquoise","107293723"
"1905","turquoise","107293726"
"1906","turquoise","107293732"
"1907","turquoise","107293740"
"1908","turquoise","107293745"
"1909","turquoise","107293748"
"1910","turquoise","107293765"
"1911","turquoise","107293769"
"1912","turquoise","107293770"
"1913","turquoise","107293777"
"1914","turquoise","107293779"
"1915","turquoise","107293782"
"1916","turquoise","107293786"
"1917","turquoise","107293796"
