450961,NSPTRG00000028747
450962,NSPTRG00000003188
450963,NSPTRG00000044094
450964,NSPTRG00000003194
450967,NSPTRG00000015558
450970,NSPTRG00000003197
450971,NSPTRG00000003200
450973,NSPTRG00000003204
450974,NSPTRG00000003207
450975,NSPTRG00000003212
450977,NSPTRG00000003232
450978,NSPTRG00000040047
450979,NSPTRG00000043688
450985,NSPTRG00000003259
450986,NSPTRG00000003280
450987,NSPTRG00000003281
450988,NSPTRG00000003284
450990,NSPTRG00000003285
450992,NSPTRG00000003289
450993,NSPTRG00000003290
450994,NSPTRG00000003291
450997,NSPTRG00000003297
450998,NSPTRG00000040525
450999,NSPTRG00000003299
451001,NSPTRG00000003300
451002,NSPTRG00000048852
451003,NSPTRG00000003309
451005,NSPTRG00000003316
451006,NSPTRG00000003317
451007,NSPTRG00000003326
451009,NSPTRG00000003328
451011,NSPTRG00000050097
451013,NSPTRG00000003342
451015,NSPTRG00000047052
451017,NSPTRG00000003349
451020,NSPTRG00000003351
451021,NSPTRG00000003354
451023,NSPTRG00000003357
451024,NSPTRG00000003359
451025,NSPTRG00000003360
451027,NSPTRG00000003365
451029,NSPTRG00000003367
451030,NSPTRG00000003368
451031,NSPTRG00000003370
451033,NSPTRG00000039896
451034,NSPTRG00000003376
451035,NSPTRG00000003377
451036,NSPTRG00000024190
451037,NSPTRG00000043466
451038,NSPTRG00000003383
451039,NSPTRG00000003384
451040,NSPTRG00000003385
451041,NSPTRG00000003386
451042,NSPTRG00000003388
451044,NSPTRG00000003390
451051,NSPTRG00000044626
451052,NSPTRG00000003399
451056,NSPTRG00000003403
451057,NSPTRG00000003406
451060,NSPTRG00000003419
451063,NSPTRG00000003421
451065,NSPTRG00000003424
451067,NSPTRG00000003426
451069,NSPTRG00000003429
451070,NSPTRG00000051611
451071,NSPTRG00000003433
451072,NSPTRG00000003435
451076,NSPTRG00000003436
451077,NSPTRG00000003438
451078,NSPTRG00000003439
451079,NSPTRG00000003441
451080,NSPTRG00000003443
451081,NSPTRG00000003446
451082,NSPTRG00000024164
451084,NSPTRG00000003450
451085,NSPTRG00000003451
451087,NSPTRG00000003454
451088,NSPTRG00000028697
451091,NSPTRG00000043690
451095,NSPTRG00000003460
451096,NSPTRG00000003461
451097,NSPTRG00000003465
451098,NSPTRG00000003466
451101,NSPTRG00000003467
451103,NSPTRG00000003473
451106,NSPTRG00000003478
451107,NSPTRG00000003481
451108,NSPTRG00000003485
451109,NSPTRG00000003486
451110,NSPTRG00000003487
451112,NSPTRG00000003490
451114,NSPTRG00000003493
451115,NSPTRG00000003495
451116,NSPTRG00000003496
451118,NSPTRG00000003499
451120,NSPTRG00000003500
451122,NSPTRG00000003501
451123,NSPTRG00000003503
451124,NSPTRG00000041394
451125,NSPTRG00000049063
451129,NSPTRG00000003515
451131,NSPTRG00000003516
451138,NSPTRG00000028662
451139,NSPTRG00000003528
451140,NSPTRG00000003528
451141,NSPTRG00000003531
451146,NSPTRG00000003536
451148,NSPTRG00000003538
451149,NSPTRG00000050232
451150,NSPTRG00000003539
451151,NSPTRG00000050910
451152,NSPTRG00000003542
451153,NSPTRG00000003545
451154,NSPTRG00000003546
451155,NSPTRG00000003549
451156,NSPTRG00000003550
451157,NSPTRG00000003551
451158,NSPTRG00000003552
451160,NSPTRG00000003553
451161,NSPTRG00000003554
451162,NSPTRG00000003555
451163,NSPTRG00000003557
451165,NSPTRG00000003558
451166,NSPTRG00000003559
451167,NSPTRG00000003561
451168,NSPTRG00000003562
451169,NSPTRG00000003563
451172,NSPTRG00000003565
451173,NSPTRG00000052299
