FamilyID	Human<0>	Chimp<1>	Cobra<2>	Habu<3>	<4>	Mouse<5>	Anole<6>	<7>	<8>	Dog<9>	<10>	Chicken<11>	<12>	<13>	<14>	Frog<15>	<16>
97	-1	+1	+4	-2	+2	+0	+0	+3	+0	-1	+0	+0	+2	+0	+0	-4	+0
98	+0	+1	+2	+0	+0	-1	-1	+4	+0	+1	+0	-1	-1	+0	+0	+0	+0
99	-1	+0	+0	+4	+0	+1	-2	+5	+0	-2	+0	+0	+0	+0	+0	+2	+0
100	+1	-1	+11	-4	+1	+1	-1	+5	+0	-3	+1	-1	+1	+0	+0	-1	+0
101	+0	-1	-1	+0	-1	+0	+2	+0	+0	+1	+1	-2	+1	+0	+0	-1	+0
102	-1	+1	+2	-1	+0	+0	+1	+3	+0	-1	+1	-1	+0	+0	+0	-1	+0
103	+0	+1	-2	+2	+0	+1	+4	-1	+0	-1	+2	-2	-2	+0	+0	-2	+0
104	+1	+0	-1	+2	+1	+1	+0	+3	+0	-2	+1	-2	-1	+0	+0	+0	+0
105	+1	+0	-1	+1	+1	+0	-1	+1	+0	-3	-1	+0	-1	+0	+0	+2	+0
106	+1	+0	+0	+1	+0	+1	-1	+0	+0	-2	-1	+0	-1	+0	+0	+2	+0
107	-1	+1	+1	+1	+2	-1	+0	+1	+0	-1	+0	+0	-1	+0	+0	+1	+0
108	+0	+0	-1	+3	+0	+1	+0	+2	+0	-1	+0	-1	+1	+0	+0	+1	+0
109	+1	+0	-4	+5	+1	+0	-1	+1	+0	-2	+0	+1	-1	+0	+0	+1	+0
110	-2	+2	-2	+3	-1	+6	-1	+2	+0	-3	-1	-2	+2	+0	+0	+1	+0
111	+0	-1	+0	+1	+0	+0	-1	+0	+0	-1	+0	+2	+0	+0	+0	+0	+0
112	+1	+0	+1	-1	+1	+0	-1	+0	+0	+0	+0	+3	-2	+0	+0	+0	+0
113	+2	-2	-2	+4	+1	+1	+0	+2	+0	+0	+0	-3	+2	+0	+0	+1	+0
114	+0	+0	-1	+2	+3	-3	+0	+0	+0	+0	-1	-1	+3	+0	+0	+0	+0
115	+0	+0	+1	+1	+0	+0	-1	+4	+0	+2	+0	-3	+0	+0	+0	+2	+0
116	+1	-1	+1	+0	-1	+1	-1	+1	+0	+1	+0	+0	+2	+0	+0	-1	+0
117	+7	-4	+0	+2	+2	-1	-2	+1	+0	+0	-1	-3	+3	+0	+0	+3	+0
118	+1	+0	+2	+0	+1	+0	-1	+1	+0	+0	+0	+2	-1	+0	+0	+3	+0
119	+2	-1	-1	+1	+1	+1	-1	+0	+0	+0	+0	+2	+1	+0	+0	-2	+0
