ens_gene,Canis_sg_1,Canis_sg_2,Canis_hrt_1,Canis_hrt_2,Canis_hrt_3,Canis_kidn_1,Canis_kidn_2,Canis_kidn_3,Canis_livr_1,Canis_livr_2,Canis_livr_3,gene_ids
ENSCAFG00000011104,32.92884,104.002,16.11776,43.1609,129.1587,85.8299,161.8816,70.1212,28.65979,17.52948,21.6968,403781
ENSCAFG00000011105,26.2567,106.649213,17.550405,39.07567,131.90351,55.06768,140.605246,79.347468,18.92081,9.35381,26.0275,478268
ENSCAFG00000011106,0,0.594235,0.116131,0.39299,1.71035,1.89329,1.6609583,0.883577,0,0,0.288866,607123
ENSCAFG00000011107,3.11968,1.28751,0.262543,1.02992,0.534512,0.113438,0.0517329,0.412213,0.039392,0,0.0975308,491589
ENSCAFG00000011108,0.250228,0.0432741,0.737719,3.50828,7.8378,10.7209,0.18316,7.77278,0.0463474,0,2.80287,490901
ENSCAFG00000011109,103.419,55.0363,278.958,326.406,425.47,192.661,147.814,204.506,129.546,170.35,81.5078,476004
ENSCAFG00000011110,58.2511,35.4048,6.38989,13.23002,19.21541,51.2942,79.782,35.3512,32.47958,35.8489,25.8791,483157
ENSCAFG00000011113,0,0.112931,0,2.183443,0,15.428927,0,7.39762,0,0.127546,22.940317,491717
ENSCAFG00000011115,0.4991873,0.6359832,0.9628902,0.981708,0.4800456,0.6366213,1.046033,4.338649,0,0,0.7494979,489307
ENSCAFG00000011117,35.728221,39.418392,1923.949177,1623.83997,465.1284,97.67995,45.44282,984.14297,4.14074,0.576499,2.35108,478156
ENSCAFG00000011118,10.33321,17.27415,3.58385,8.70337,19.18557,8.606470488,14.634614,12.24522,9.66979,6.93893,7.490213,610156
ENSCAFG00000011120,0.0369667,11.629714,1.9593472,3.3408807,14.237611,7.098857,0.0269932,6.916549,0,0,3.321602,480006
ENSCAFG00000011121,55.971,53.8065,9.21559,13.9078,55.9242,24.9611,72.9177,41.3015,20.1842,16.0435,6.4255,478269
ENSCAFG00000011122,8.88693,4.843756,2.134065,7.88166,7.26206,11.52937,13.36703,10.63616,9.70489,11.88697,10.53926,478575
ENSCAFG00000011123,0.32658,0.338881,0.0278864,0.278486,0.11564,0.55578,0.832816,0.539037,0.0362864,0.0976338,0.0671656,607648
ENSCAFG00000011125,13.01330132,7.342218895,1.070789673,4.357852,5.471470602,5.620361,6.253141413,4.286428,5.09663,0,3.9536243,478964
ENSCAFG00000011126,12.4325,12.05008,2.3867,3.2896,19.07591,10.794362,26.2156,11.067,17.321,6.30486,3.072643994,478270
ENSCAFG00000011130,0,0,0,0,0.035459,0.0165381,0.0376299,0.0697953,0,0,0.0402272,478773
ENSCAFG00000011131,69.77324,97.7398,31.48514,28.41845,140.3702,30.9109,94.68073,63.73931,48.67897,45.1777,16.04663,478157
ENSCAFG00000011134,121.031,803.636,106.118,102.767,515.821,189.459,123.633,275.606,60.8612,87.906,143.509,480238
ENSCAFG00000011135,0.383395,0,1.24773,0.607503,1.10835,0,0.593266,0,0,0,0,610169
ENSCAFG00000011136,17.18159443,15.6306299,34.647724,73.104824,63.37444005,19.931617,22.27309925,20.91690009,6.298139786,9.407975903,6.125270018,403937
ENSCAFG00000011138,9.338184,12.96967,1.547297,3.232703607,9.338622,5.8947915,12.04466,5.7106638,0,0,4.019004,612770
ENSCAFG00000011140,0,0,0,0.017734,0.0276457,0,0,0.0198327,0,0,0.0211832,490248
ENSCAFG00000011144,18.8041,27.71742,1.75536,5.0006721,21.342741,5.747461,20.748527,6.26477,2.53895,4.27398,2.0015651,486315
ENSCAFG00000011145,10.88060047,10.722752,7.87685,17.352993,107.73182,4.595717,13.27500001,14.5177,7.89654,7.803140143,5.14862,477663
ENSCAFG00000011146,0.0350607,30.2508,21.0597,43.2076,138.309,29.0269,0.07673,34.0217,0.0389581,0.0347821,18.3908,607421
ENSCAFG00000011147,7.04019,6.89477,34.2851,56.8115,67.3633,12.1786,29.8443,70.6205,0,0.0389106,5.13886,489309
ENSCAFG00000011148,0.0260391,0.249991,0.2689156,0.471225,0.3363216,1.694646,0.44152,1.1370932,0.497282,0.443007,0.691643,490902
ENSCAFG00000011149,15.04695,15.88727,4.99982,4.807081,14.4791,7.905528,20.44297,15.4307,12.12362,12.37749,4.738742,611914
ENSCAFG00000011150,0.0558782,0.602876,1.358857,1.88158,2.711938,0.2366209,0.357321,0.729546,0,0,0.0952431,489790
ENSCAFG00000011151,0,2.99894,0.787363,3.76138,8.96501,3.37608,0,1.64403,0,0.0260205,9.32498,490250
ENSCAFG00000011153,12.9611088,13.4515,1.7653649,1.784949,10.9325,470.353996,1303.181194,307.765,71.0534,52.001147,33.6426,475823
ENSCAFG00000011154,0.214009,0.653896,0.0270097,0.0537246,0.0836964,0.864896,1.10383,0.365837,1.82267,4.62681,2.16198,488000
ENSCAFG00000011155,0.818109337,0.747116936,0.946804898,2.469079,1.418058,0.640873032,0.992934008,2.105566,0.3206281,0.223978612,0.273519042,487519
ENSCAFG00000011157,7.0236,4.598802,1.16196,5.23984,4.268868,7.7531,15.29725,4.78792,10.05008,12.20597,10.31645,486896
ENSCAFG00000011159,0.0981545,38.5722,39.45743,95.9989,129.0241,78.7763,0.191524,43.9261,0.109099,0.2430879,39.1476,480239
ENSCAFG00000011162,0,0.0891632,0.868329,1.27076,0.552494,0.386192,0.386186,0.772284,0,0,0.37696,489310
ENSCAFG00000011163,0,0,0,0.0261618,0,0,0,0,0,0,0,609908
ENSCAFG00000011164,3.9632,5.66853,0.499822,1.6903,1.2892,2.45815,10.2215,3.84815,5.35741,7.75566,9.70044,608118
ENSCAFG00000011165,10.7038,7.534593,1.61491,5.86329,10.4714,5.948083,9.792,5.15221,4.169866,4.21214,3.82183,611662
ENSCAFG00000011167,75.796137,44.83594,3.06409,4.674721,10.845348,12.121052,28.19898,25.365319,8.490719,10.310064,2.73725,478504
ENSCAFG00000011168,0.994102,0.772103,0.879331,6.20099,2.37962,5.60907,6.88765,22.5114,0,0,3.28411,479401
ENSCAFG00000011169,4.343498,1.9693938,0.0382259,0.2485074,0.0796545,0.3693125,0.327139,0.199066,0.198389,0.0615284,0.341295,610294
