ens_gene,Anole_hrt_1,Anole_hrt_2,Anole_hrt_3,Anole_hrt_4,Anole_kidn_1,Anole_kidn_2,Anole_kidn_3,Anole_kidn_4,Anole_livr_1,Anole_livr_2,Anole_livr_3,gene_ids
ENSACAG00000012473,0.0482408,0.188797,0.044217,0.402029,5.57834,9.9067,6.43249,9.28248,3.48542,3.14108,4.48152,100557031
ENSACAG00000012474,0.815784,1.30402,1.9273,0.815207,0.263765,2.02327,1.82445,0.271645,1.76101,2.91291,0.944283,100553447
ENSACAG00000012475,12.58728,9.368954,8.87911,9.453475,14.26473,14.51219,12.66764,15.5548,8.067978,7.323829,6.769263,100563977
ENSACAG00000012478,0.0800592,0.30066,0.176039,0.0400146,0,0.0485728,0.256094,0,0.236529,0.0744373,0.19185,100562409
ENSACAG00000012480,373.513,60.7539,81.6284,20.427,512.084,85.1325,58.3941,35.4998,44.2732,40.5327,9.79375,107983928
ENSACAG00000012481,7.87808,7.10836,13.8262,14.9801,2.31465,2.66776,2.09839,2.40689,1.67147,1.64671,1.77083,100564144
ENSACAG00000012482,0.116941,0.172714,0.202252,0.245189,0.220153,1.71137,0.784606,0.913093,0.483108,0,0.29389,100553258
ENSACAG00000012483,0.670002,7.42731,4.34877,2.11981,0.770874,1.80671,1.75118,0.522553,0.148113,0.391543,0.126143,100557232
ENSACAG00000012485,22.6633,30.4637,35.2148,35.251,12.0955,53.6779,32.8399,47.7721,28.7692,50.2489,34.7524,100563669
ENSACAG00000012487,14.927,34.3158,40.1845,15.992,6.12051,14.453,15.9127,12.8963,28.29,29.7493,10.5637,100563800
ENSACAG00000012489,0.285423,0.603399,0.953079,0.343635,0.465769,0.435267,0.497226,0.129826,0,0.194554,0.0716331,100556634
ENSACAG00000012491,36.8668,36.7161,72.8673,37.8789,62.2777,116.835,101.972,99.7134,34.1087,57.2355,20.1125,100561640
ENSACAG00000012492,2.60701,7.89604,8.80881,3.63235,3.69878,16.9514,13.324,4.57274,9.07904,5.46775,2.46153,100561116
ENSACAG00000012493,0.0125285,0.05755,0.0336961,0.0306371,0.0296068,0.0371898,0,0,0,0,0,100554876
ENSACAG00000012494,34.511,31.3525,29.191,13.1337,35.2852,46.1674,43.0787,22.757,34.5041,30.54,10.495,100555328
ENSACAG00000012498,0.0695994,0.103509,0.0404035,0.0367357,0.32956,0.267556,0.399685,0.478818,0.940969,0.751715,0.374276,100557429
ENSACAG00000012500,5.17294,6.6033,4.16371,5.94899,629.825,196.289,616.101,500.822,3107.29,36.2181,63.5274,100567607
ENSACAG00000012501,4.33078,4.80181,2.95948,2.60112,1.92552,2.17755,1.03328,2.95055,3.53458,3.4205,6.98813,100566102
ENSACAG00000012502,20.746,51.7236,30.4849,49.5222,7.50979,13.403,15.2984,15.1167,36.8865,18.4464,18.7185,100566508
ENSACAG00000012504,1.19098,3.87929,2.77346,3.34775,4.76362,18.3661,23.596,15.1117,13.5352,4.85272,4.53384,100551600
ENSACAG00000012505,215.098,29.2218,32.8773,264.154,118.284,22.9565,28.1114,171.905,10.8182,13.6183,97.2535,100560495
ENSACAG00000012507,2.65453,12.7201,10.5607,3.86196,3.51303,14.2565,11.0717,4.46568,17.7206,15.0574,5.70705,100566234
ENSACAG00000012509,3.04893,6.43898,4.80078,5.10661,11.6362,16.7908,15.615,9.89038,9.57519,10.4735,4.64689,100568130
ENSACAG00000012510,66.4201,47.2292,46.3586,27.1416,37.9528,20.5171,18.8519,17.5861,57.7623,22.5706,177.459,100560692
ENSACAG00000012512,44.2091,34.3118,37.8506,19.5898,38.7792,30.5278,32.8685,12.8161,25.5586,24.1305,12.0577,100563135
ENSACAG00000012513,0.679192,0.319793,0.374484,0.680976,6.88193,4.13311,5.22991,7.39662,0,0.791742,0.918266,100567689
ENSACAG00000012515,0,0.461937,0.309107,0.210784,1.79239,3.92329,1.07922,2.00604,0,0.261408,0,100562966
ENSACAG00000012516,12.0094,12.2682,14.1031,11.0789,15.198,17.8482,16.4132,19.5255,7.74807,12.9128,10.1645,100568013
ENSACAG00000012517,12.3755,12.4693,12.565,10.0367,11.8182,13.0931,9.26051,12.7511,8.89163,10.9708,9.28163,100564928
ENSACAG00000012519,1.60594,6.64291,7.73624,0.932676,0.88324,4.85883,3.63123,1.25426,2.06742,3.18086,0.698708,100564173
ENSACAG00000012520,2.23659,3.14393,7.21776,1.60023,2.90012,9.26622,5.83999,2.94742,4.29951,14.1173,2.62109,100551578
ENSACAG00000012521,1.91772,7.91412,5.76923,1.7578,3.36634,13.5815,14.0356,3.87918,13.5241,14.3774,4.78243,100555608
ENSACAG00000012522,6.58338,23.4418,20.8546,9.30697,4.86741,13.85,14.7215,9.4196,11.5288,9.21791,8.3941,100559334
ENSACAG00000012523,0.253402,0.0430504,0,0.0916728,0,0,0,0.0568989,0,0.0852673,0,100553545
ENSACAG00000012525,4.71091,4.81842,5.85433,4.39661,9.37054,17.0341,27.7861,19.8111,52.9684,52.2166,43.9395,100566145
ENSACAG00000012529,0.795854,0.511121,1.35861,0.226869,2.28221,3.17067,6.41924,2.15972,1.16476,1.078,0.0906865,103277575
ENSACAG00000012530,6.13598,10.106,14.3748,5.70999,8.2797,26.5755,22.9181,11.487,20.1269,22.7653,8.09949,100560924
ENSACAG00000012533,39.3513,39.5954,49.0549,24.1338,23.2164,53.9556,42.4267,29.2,18.6597,23.8682,10.9851,100568150
ENSACAG00000012534,8.56889,13.1964,9.93427,10.7051,12.676,17.8677,28.6897,17.8568,22.4111,13.691,10.0246,100563997
ENSACAG00000012536,44.021,33.6005,19.8323,16.5871,30.71,9.75164,15.6092,9.82883,10.7043,5.16061,5.33412,100557034
ENSACAG00000012537,0.444164,0.357273,0.0643652,0.234088,0.0851222,0,0,0.0726462,0,0.108866,0.105219,100553628
ENSACAG00000012539,0.47242,0.604926,0.923975,0.61607,0.163439,0.815819,0.967793,0.173809,0.165529,0.104186,0,100556841
ENSACAG00000012540,1.10444,3.14145,3.41665,1.15131,1.96542,7.72797,5.5178,2.58288,1.11509,3.87954,0.346128,100565577
ENSACAG00000012542,16.5612,47.9223,81.1942,11.1386,1.00135,3.55819,3.10603,0.818261,5.96227,7.22509,1.82171,100554427
ENSACAG00000012543,23.3951,34.1226,42.4104,25.2846,47.5751,77.1925,64.5991,45.5395,96.5444,93.5061,40.2067,100555541
ENSACAG00000012547,0.398151,0.318467,0.154404,0.057194,0.777454,4.15244,1.92052,0.798771,0.790633,0.655339,0.152644,100555816
ENSACAG00000012549,9.10115,18.3657,14.7748,5.40522,8.08211,19.1049,24.2155,7.20313,16.2885,9.31575,5.14497,100563853
ENSACAG00000012551,152.111,153.652,140.949,236.425,49.4585,66.1077,66.666,159.62,47.6912,53.8708,140.139,100556645
ENSACAG00000012553,6.40587,17.38548,19.06087,4.83298,11.05571,20.36948,14.50088,7.67991,43.73055,40.17053,23.55323,100557822
ENSACAG00000012558,7.58876,10.1122,7.5458,6.73294,7.9081,18.9283,17.9271,8.7321,6.05256,8.0864,2.52169,100555622
ENSACAG00000012559,0,0.199793,0,0,0.568995,3.09863,0.544571,1.32031,0,0,0,100566035
ENSACAG00000012560,27.0883,63.4977,72.6713,42.2255,17.7796,44.8345,38.5219,28.3156,20.6537,19.3156,12.4457,100568179
ENSACAG00000012561,5.51072,11.2585,6.97652,8.39098,24.8695,44.4409,61.4381,36.2084,5.60948,4.18108,2.81375,100567837
ENSACAG00000012562,7.49295,12.73,7.49962,5.89452,6.34048,17.6995,29.0556,11.013,15.5597,14.3044,9.14865,100556659
ENSACAG00000012565,3.56189,12.3132,7.98197,3.58966,1.95629,3.78905,2.59705,0.87183,1.38383,2.75817,1.12244,100567289
ENSACAG00000012569,27.9901,52.3829,59.0053,42.7051,41.8953,175.87,176.957,102.686,482.237,336.185,182.631,100564792
ENSACAG00000012571,2.25622,3.67374,4.30203,0,2.15552,3.56105,3.1292,0.606939,1.92675,7.27635,0,103281290
ENSACAG00000012572,31.5757,148.781,79.2326,31.6558,40.2547,178.69,234.613,88.9413,147.077,92.5727,35.2891,100560847
ENSACAG00000012573,71.0901,161.064,99.7948,145.94,73.6189,114.063,125.914,138.879,59.015,58.4486,59.8345,100560649
ENSACAG00000012574,2.87037,3.93125,3.06905,0.697609,0.755337,4.79861,1.78588,1.15463,2.2909,1.29773,0.278725,100558654
ENSACAG00000012576,14.9592,14.2837,12.1007,10.1581,12.1007,12.8077,11.7916,12.8807,8.14365,8.96101,9.05333,100558327
ENSACAG00000012577,21.6436,31.5747,40.1315,14.4499,18.2623,65.1499,73.1782,37.8514,138.87,26.2953,48.0719,100563328
ENSACAG00000012579,0.925188,0.522531,0.36927,0.320725,1.56423,3.62547,4.55858,1.71455,3.87438,5.66799,1.40958,100557564
ENSACAG00000012581,71.2367,72.722,82.8677,61.9772,80.1429,89.5629,88.2197,76.2888,47.547,52.641,46.4038,100565392
ENSACAG00000012582,1.4163,1.81255,0.815071,1.14225,1.74522,13.5496,1.12724,1.38031,2.66829,1.98932,1.65804,100556058
ENSACAG00000012584,3.44203,10.7032,10.1148,6.41898,2.49467,12.4803,15.5183,10.183,13.4137,14.2964,7.27238,100551927
ENSACAG00000012586,54.9929,129.416,110.404,55.5866,15.2249,33.0424,34.688,26.1939,52.3868,36.8984,26.4849,100562799
ENSACAG00000012587,0.273564,32.7282,0,24.1434,121.023,150.162,114.375,92.692,0,1.85208,0.596681,100557366
ENSACAG00000012591,41.4175,58.9168,50.344,33.7682,43.9319,77.728,63.2168,47.0716,16.6552,23.7161,10.9603,100558294
ENSACAG00000012592,332.276,0,0,0,83,0,0,0,0,0,0,100555893
ENSACAG00000012593,42.4213,8.34021,10.4177,1.77599,6.9924,2.15583,5.3043,0.734873,1.16644,4.40505,0.709583,100563867
ENSACAG00000012595,1.78321,12.9623,1.43408,3.43023,1.61263,4.01778,4.67315,1.36957,14.1104,9.92616,3.48642,100554050
ENSACAG00000012596,15.3768,13.322,36.1606,12.5639,11.0535,19.0156,26.0655,11.9072,29.8571,23.6017,20.4542,100566860
ENSACAG00000012598,8.82009,3.57816,6.98349,0.634952,330.335,96.3444,174.739,28.3751,7.50649,4.72469,0,103282811
ENSACAG00000012599,64.4256,59.6353,33.7539,51.25163,195.5769,148.4843,297.7387,176.5122,67.83093,3.75114,6.0207,100556086
ENSACAG00000012600,20.6603,28.2431,18.4376,21.3358,27.8172,27.8843,31.8773,15.0882,43.87,33.0519,25.6627,100567639
ENSACAG00000012605,0,0.286099,0.111676,0,0,0,0.129969,0,0,0,0.121706,100564371
ENSACAG00000012606,10.9919,18.1836,12.5909,22.3907,17.5818,27.1795,41.1585,52.6635,18.5758,14.7192,22.1969,100560454
ENSACAG00000012607,0,0,0.193522,0,0,0.427173,0,0,0,0.654637,0,100558961
ENSACAG00000012608,0.429986,2.8094,1.16113,1.90981,0.55067,0.213586,2.25221,4.93893,0,1.63659,2.84966,100558761
ENSACAG00000012609,0.923947,2.51618,1.96356,1.01147,1.00962,2.14659,2.34787,2.23453,0.862928,0.763721,0.329749,100552123
ENSACAG00000012611,0.271176,0.388136,0.0909031,0,0.353606,0.300984,0.211587,0.307795,0,0,0,100565874
ENSACAG00000012612,1.17681,10.103,5.95311,1.66673,0.488242,4.73939,4.23068,0.695046,2.90765,3.84392,0.713497,100557698
ENSACAG00000012613,0.972676,0.81784,0.922097,0.469319,147.637,561.377,646.922,384.452,133.11,372.365,95.5543,100556366
ENSACAG00000012614,98.0858,89.1279,100.691,57.4393,287.344,384.838,395.451,230.059,281.841,323.322,181.925,100567311
ENSACAG00000012615,5.35991,13.4127,14.7638,7.74813,5.04191,20.891,13.7588,10.4215,13.2819,18.5494,7.12115,100563659
ENSACAG00000012616,71.1654,151.214,70.2022,49.4125,2.2493,24.9398,11.9478,7.41386,24.8006,193.891,66.2203,100552196
ENSACAG00000012618,36.1694,47.3729,63.5479,15.7293,1.36867,1.01832,4.96628,0.520681,0.826461,0.39014,0,100559352
ENSACAG00000012619,90.1301,34.8967,23.059,23.1482,30.6561,12.7779,14.2565,16.8394,9.84097,9.04026,11.555,103282426
ENSACAG00000012620,14.5204,25.4192,9.06492,9.17726,29.2163,35.0522,27.9083,19.5191,2.53385,3.58839,2.172,100568270
ENSACAG00000012621,33.3116,58.5885,42.5863,20.4126,71.6814,88.6754,90.1434,61.0692,72.4347,52.0265,44.2794,100567877
ENSACAG00000012624,0.255293,0.616562,0.171906,0.375121,3.77025,15.2543,9.76318,10.8265,15.152,7.61788,11.7279,100566302
ENSACAG00000012625,0.548054,3.1474,0.441967,2.05367,2.85806,18.2005,3.1551,3.79265,0.539491,0.756601,0.0435434,100563165
