ens_gene,Gal_hrt_1,Gal_hrt_2,Gal_hrt_3,Gal_kidn_1,Gal_kidn_2,Gal_kidn_3,Gal_livr_1,Gal_livr_2,Gal_livr_3,gene_ids
ENSGALG00000038657,7.09436,3.03706,4.52302,9.51696,4.4038,3.77994,6.35691,3.11756,3.06035,101747780
ENSGALG00000038666,11.85887,5.08146,5.52209,17.55169,6.905093,8.85073,11.63832,7.405376,4.407801,100859027
ENSGALG00000038671,179.538,100.508,139.866,132.868,33.9752,118.609,59.0782,22.1651,38.2522,422090
ENSGALG00000038678,50.49491,57.18489,34.78212,13.79544,23.88679,23.59797,0.485097,0.7526407,1.045366,421055
ENSGALG00000038681,9.60997,1.95362,1.44916,16.0598,5.50511,1.57508,5.17505,0.425683,0,769944
ENSGALG00000038684,4.558643,5.5436,6.56515,9.67132,15.7491,10.9525,5.139299,6.87246,7.206181,416021
ENSGALG00000038688,2.413709,0.664041,2.297508,0.5121301,0.196834,0.1858037,1.91523,0.398493,1.442473,415515
ENSGALG00000038704,6.89006,15.4768,22.3714,4.05581,20.8001,18.1784,4.32497,14.5281,11.7349,420749
ENSGALG00000038708,1.458097,0.629711,0.288508,2.000822,0.777375,1.105057,0.0978175,0.377527,0.0681715,419643
ENSGALG00000038710,1.88962,2.77757,3.66887,2.67401,8.85105,9.94623,1.38643,5.50005,1.25553,426428
ENSGALG00000038721,90.3742,124.137,124.351,91.6479,114.115,183.537,111.2649,88.7193,124.882,419142
ENSGALG00000038722,193.1889,183.3421,197.2769,32.87779,58.06767,48.01514,34.24912,28.19923,31.6291,423749
ENSGALG00000038723,16.53273,12.01273,25.4165,25.65258,17.8964,41.38817,23.79206,17.57652,28.81095,427403
ENSGALG00000038728,0.163168,0.179864,0.140091,0,0.0591312,0.0676726,0,0,0,100859173
ENSGALG00000038730,36.6836,25.0447,33.7796,33.094,33.0969,26.3372,21.4145,16.3072,16.9785,424743
ENSGALG00000038733,45.69414,68.687,76.3957,22.27594,46.0896,40.45271,8.624636,12.76875,11.82672,420714
ENSGALG00000038740,1.6146,2.67806,1.79578,0.514965,1.55464,3.1291,2.30169,5.90515,3.68788,414140
ENSGALG00000038745,27.1203,63.1111,71.6946,35.9841,130.81,102.989,24.1856,61.2737,64.0285,420178
ENSGALG00000038747,10.2549,19.8419,15.33312,4.16102,10.84735,12.88086,1.452527,6.03863,6.67858,771841
ENSGALG00000038748,218.7953,420.8428,510.4381,147.503,540.45,585.8498,106.3106,225.9171,192.5327,419592
ENSGALG00000038752,0.05469745,0.108686,2.16747,0.117712,0.053987,0.27069,0.123871,0,0.1333492,100859425
ENSGALG00000038753,51.63438,145.0858,130.1878,47.66702,133.9918,128.7419,114.6496,290.428,341.4315,416314
ENSGALG00000038757,36.15915,15.8437,16.6266,41.75624,14.22047,17.2704,27.5073,10.2196,10.8323,107055400
ENSGALG00000038758,145.048,67.2728,61.8276,97.0983,25.0801,29.3773,101.411,36.6689,40.946,415629
ENSGALG00000038768,5.47307,8.42164,10.2396,17.2136,84.2418,66.9068,33.2244,85.7762,101.363,416445
ENSGALG00000038771,146.821,490.3024,364.6521,0,0.1755351,0.363844,0.122821,0.265499,0,422618
ENSGALG00000038772,6.92866,8.34591,17.2139,7.20306,20.6925,26.1238,5.96624,7.60245,12.1811,420251
ENSGALG00000038775,9.19758,30.66149,25.19158,25.11267,56.13718,58.74685,0,0.364073,0.426794,395657
ENSGALG00000038776,50.094,34.8647,47.7182,13.8325,26.2909,23.2984,24.9002,33.1178,19.4092,424530
ENSGALG00000038782,0.652452,1.37595,0.437035,0.690146,0.360918,1.73482,0.227561,0.24559,0.431027,421623
ENSGALG00000038783,13.54333,13.94055,13.46758,33.72222,49.98723,49.42147,18.09296,25.38359,21.52469,772393
ENSGALG00000038787,5.79598,3.17924,4.69742,0.957094,0.424874,0.145874,0.0470479,0.236545,1.04653,422933
ENSGALG00000038789,3.74064,2.56779,1.73377,7.7058,1.89859,3.76827,0.846945,0.867504,0.810536,417293
ENSGALG00000038797,9.92823,7.44138,6.65686,13.8998,11.7789,12.2382,8.40531,6.14699,4.99184,428138
ENSGALG00000038801,1341.82,959.817,966.773,1033.16,376.402,457.271,634.552,268.147,407.957,426673
ENSGALG00000038810,10.5926,4.16623,6.85045,20.6727,8.63306,7.31506,12.7741,4.46747,4.50756,100858962
ENSGALG00000038812,22.7134,8.04677,7.11514,35.8181,12.652,12.3295,20.9313,7.79096,8.15579,422105
ENSGALG00000038813,26.9954,66.8608,74.1213,0.560393,3.17423,2.76621,0.439397,1.43215,1.59763,424164
ENSGALG00000038817,4.81838,0,35.9665,0.768115,0.365035,0.412014,0.277737,0,0,768830
ENSGALG00000038820,31.26225,17.06173,22.08488,85.5344,28.67403,23.63319,37.12782,11.8134,6.78689,100858219
ENSGALG00000038834,2.478296,1.615985,2.566988,1.662931,2.064855,2.30932,0.252837,0.301267,0.215414,417729
ENSGALG00000038838,17.56801,27.64869,33.59096,8.97632,27.03151,17.48216,3.96193,6.414259,6.657365,421137
ENSGALG00000038848,1.03838,1.86056,1.36513,0.460184,3.65671,1.40765,0.646322,0.55523,0.744383,395245
ENSGALG00000038850,22.79666,14.67431,22.40968,0.6077211,1.192931,1.10302,0.0644745,0.09440994,0.1135337,415984
ENSGALG00000038858,14.8147,16.1995,18.9666,16.9206,33.376,32.2417,10.1691,16.7317,18.6734,419342
ENSGALG00000038865,5.15933,7.4658,10.66276,10.73438,18.75721,18.61221,3.607955,6.974393,5.079811,415620
ENSGALG00000038875,18.1107,6.39873,6.37326,9.17687,3.22328,5.60265,8.56114,4.16026,4.34145,422089
ENSGALG00000038884,160.0625,117.0366,219.5156,16.4337,3.015729,1.968504,2.408188,0.884094,19.08669,396269
ENSGALG00000038885,37.29634,36.30063,39.71121,23.25846,12.9338,12.32111,1.845854,1.02785,0.723454,425587
ENSGALG00000038896,4.236786,3.435146,3.571852,2.597701,3.50346,8.27988,2.203768,2.509358,2.188452,419662
ENSGALG00000038902,13.2754,12.0507,15.3676,9.83986,5.35213,13.6486,8.74507,3.50876,4.46167,100858838
ENSGALG00000038904,31.8758,74.7692,68.4318,28.5918,72.4444,63.222,8.05207,18.9206,16.7856,426074
